k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
33.000000,0.660000,0.000000,1.990000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.028466,1.859899,1.754054,2.067451,0.244773,1.168987
34.000000,0.680000,0.000000,2.050000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.040814,1.899664,1.777434,2.185852,0.254308,1.240459
35.000000,0.700000,0.000000,2.110000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.054762,1.941407,1.802243,2.303836,0.261644,1.303430
36.000000,0.720000,0.000000,2.170000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.070424,1.985055,1.828312,2.420779,0.267950,1.368992
37.000000,0.740000,0.000000,2.230000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.087937,2.030509,1.855692,2.536607,0.272928,1.432542
38.000000,0.760000,0.000000,2.290000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.107434,2.077662,1.884342,2.651087,0.276602,1.495455
39.000000,0.780000,0.000000,2.350000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.129050,2.126393,1.914252,2.764026,0.278856,1.557272
40.000000,0.800000,0.000000,2.410000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.152917,2.176566,1.945397,2.875204,0.279601,1.617940
41.000000,0.820000,0.000000,2.470000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.179162,2.228037,1.977756,2.845014,0.308147,1.802713
42.000000,0.840000,0.000000,2.530000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.207344,2.277850,2.013810,2.818972,0.318349,1.859522
43.000000,0.860000,0.000000,2.590000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.237264,2.326058,2.051000,2.794952,0.320407,1.859282
