k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
0.000000,0.000000,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000
1.000000,0.020000,0.000000,0.070000,1.570796,3.000000,0.000000,0.000000,0.000000,-0.003546,0.000000,0.070000,1.570796,2.991134,-0.093247,-0.634078
2.000000,0.040000,0.000000,0.130000,1.570796,2.996710,0.000000,0.000000,0.000000,-0.003795,0.001865,0.129823,1.558115,2.987224,-0.110702,-0.655284
3.000000,0.060000,0.000000,0.189934,1.570796,2.993191,0.000000,0.000000,0.000000,-0.003494,0.004836,0.189534,1.545009,2.984456,-0.112857,-0.643231
4.000000,0.080000,0.000000,0.249798,1.570796,2.989949,0.000000,0.000000,0.000000,-0.003296,0.008632,0.249145,1.532144,2.981710,-0.113990,-0.646184
5.000000,0.100000,0.000000,0.309597,1.570796,2.986891,0.000000,0.000000,-0.000812,-0.003131,0.013214,0.308647,1.519221,2.979063,-0.113947,-0.643984
6.000000,0.120000,0.000000,0.369335,1.570796,2.983985,0.000000,0.000000,-0.000812,-0.003033,0.018562,0.368031,1.506341,2.976402,-0.114031,-0.644002
7.000000,0.140000,0.000000,0.429015,1.570796,2.981169,0.000000,0.000000,-0.000812,-0.002966,0.024672,0.427289,1.493461,2.973754,-0.113992,-0.643160
8.000000,0.160000,0.000000,0.488638,1.570796,2.978416,0.000000,0.000000,-0.000812,-0.002924,0.031540,0.486410,1.480598,2.971104,-0.113987,-0.642673
9.000000,0.180000,0.000000,0.548206,1.570796,2.975701,0.000000,0.000000,-0.000812,-0.002897,0.039163,0.545385,1.467744,2.968459,-0.113965,-0.642044
10.000000,0.200000,0.000000,0.607720,1.570796,2.973011,0.000000,0.000000,-0.009981,-0.002879,0.047537,0.604205,1.454904,2.965814,-0.113948,-0.641474
11.000000,0.220000,0.000000,0.667180,1.570796,2.965403,-0.016521,-0.112344,-0.009981,0.005268,0.056660,0.662860,1.442074,2.978574,0.009303,0.197193
12.000000,0.240000,0.000330,0.726488,1.568549,2.970343,-0.013488,-0.071208,-0.009981,0.010073,0.064123,0.721962,1.446018,2.995526,0.111623,0.748448
13.000000,0.260000,0.000734,0.785895,1.567125,2.996295,-0.013808,-0.077407,-0.009981,0.011047,0.069364,0.781685,1.460987,3.023913,0.175174,1.076630
14.000000,0.280000,0.001230,0.845819,1.565577,3.024720,-0.013535,-0.075573,-0.009981,0.015764,0.072509,0.842183,1.482519,3.064130,0.191568,1.137954
15.000000,0.300000,0.001816,0.906311,1.564066,3.064877,-0.013710,-0.077725,-0.048081,0.016873,0.074095,0.903565,1.505279,3.107058,0.194246,1.148026
16.000000,0.320000,0.002503,0.967606,1.562511,3.102157,-0.068981,-0.454256,-0.048081,0.019151,0.074287,0.965827,1.528239,3.150034,0.195327,1.164682
17.000000,0.340000,0.004397,1.029635,1.553426,3.150510,-0.061692,-0.356451,-0.048081,0.016964,0.073065,1.028937,1.551533,3.192918,0.195418,1.180487
18.000000,0.360000,0.006725,1.092614,1.546297,3.192778,-0.066945,-0.397799,-0.048081,0.017116,0.070387,1.092859,1.575142,3.235569,0.195137,1.196365
19.000000,0.380000,0.009627,1.156418,1.538341,3.235833,-0.065768,-0.390866,-0.048081,0.016844,0.066203,1.157552,1.599070,3.277943,0.194621,1.212152
20.000000,0.400000,0.013042,1.221058,1.530524,3.278084,-0.066314,-0.399984,0.067029,0.016774,0.060459,1.222975,1.623313,3.320018,0.193920,1.227851
21.000000,0.420000,0.017007,1.286513,1.522524,3.303040,0.048807,0.377176,0.067029,-0.045471,0.053100,1.289080,1.647870,3.189363,0.065281,0.612764
22.000000,0.440000,0.019220,1.352544,1.530068,3.203182,0.078683,0.563844,0.067029,-0.066266,0.046887,1.352578,1.660125,3.037516,0.033428,0.422092
23.000000,0.460000,0.020256,1.416619,1.541344,3.074291,0.070053,0.528502,0.067029,-0.075723,0.040802,1.413026,1.668567,2.884984,0.031383,0.374309
24.000000,0.480000,0.020666,1.478119,1.551915,2.936574,0.065786,0.505905,0.067029,-0.081687,0.034545,1.470389,1.676053,2.732357,0.033904,0.348486
25.000000,0.500000,0.020459,1.536865,1.562033,2.794244,0.063283,0.481320,0.108886,-0.085905,0.028129,1.524662,1.683023,2.579481,0.036775,0.325522
26.000000,0.520000,0.019684,1.592759,1.571659,2.655784,0.098383,0.699786,0.108886,-0.091775,0.021620,1.575845,1.689533,2.426347,0.039172,0.302924
27.000000,0.540000,0.017670,1.645873,1.585655,2.509340,0.099715,0.693934,0.108886,-0.094543,0.015094,1.623938,1.695592,2.272983,0.040862,0.280674
28.000000,0.560000,0.014930,1.696024,1.599533,2.360993,0.097983,0.652254,0.108886,-0.096628,0.008625,1.668942,1.701205,2.119424,0.041762,0.258920
29.000000,0.580000,0.011615,1.743168,1.612579,2.211203,0.096984,0.607845,0.108886,-0.098197,0.002284,1.710862,1.706384,1.965710,0.041862,0.237729
30.000000,0.600000,0.007829,1.787273,1.624735,2.060194,0.095987,0.562629,0.174631,-0.099327,-0.003859,1.749702,1.711138,1.811877,0.041202,0.217104
31.000000,0.620000,0.003691,1.828313,1.635988,1.918989,0.140127,0.823739,0.174631,-0.020144,-0.009744,1.785468,1.715480,1.868629,0.137399,0.822562
32.000000,0.640000,-0.001606,1.866429,1.652463,1.865707,0.186788,0.852138,0.174631,0.034871,-0.017852,1.822054,1.731932,1.952883,0.220222,1.106138
33.000000,0.660000,-0.008373,1.903314,1.669506,1.948356,0.187339,0.845673,0.174631,0.047638,-0.028466,1.859899,1.754054,2.067451,0.244773,1.168987
34.000000,0.680000,-0.015942,1.941722,1.686419,2.051379,0.195480,0.935912,0.174631,0.053789,-0.040814,1.899664,1.777434,2.185852,0.254308,1.240459
35.000000,0.700000,-0.024558,1.982025,1.705137,2.164368,0.200111,0.953528,0.262430,0.055787,-0.054762,1.941407,1.802243,2.303836,0.261644,1.303430
36.000000,0.720000,-0.034322,2.024386,1.724208,2.234356,0.268184,1.441282,0.262430,0.074570,-0.070424,1.985055,1.828312,2.420779,0.267950,1.368992
37.000000,0.740000,-0.046452,2.067729,1.753033,2.351966,0.298726,1.585560,0.262430,0.073857,-0.087937,2.030509,1.855692,2.536607,0.272928,1.432542
38.000000,0.760000,-0.060852,2.112906,1.784745,2.476006,0.311230,1.671111,0.262430,0.070032,-0.107434,2.077662,1.884342,2.651087,0.276602,1.495455
39.000000,0.780000,-0.077449,2.159976,1.818167,2.596334,0.318505,1.749574,0.262430,0.067077,-0.129050,2.126393,1.914252,2.764026,0.278856,1.557272
40.000000,0.800000,-0.096340,2.208762,1.853158,2.712191,0.322613,1.824424,0.330329,0.065206,-0.152917,2.176566,1.945397,2.875204,0.279601,1.617940
41.000000,0.820000,-0.117650,2.259060,1.889647,2.786713,0.353886,2.102559,0.330329,0.023320,-0.179162,2.228037,1.977756,2.845014,0.308147,1.802713
42.000000,0.840000,-0.141842,2.309766,1.931698,2.810307,0.377172,2.232340,0.330329,0.003466,-0.207344,2.277850,2.013810,2.818972,0.318349,1.859522
