node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8338.000000,7097.000000,0.000000,0.000000,0.221445,3.295093,0.200000,3.000000,2.001399,-1.867818,0.410559,5.251181,1.918650,0.319532,1.470275,0.299819,-0.017505
8339.000000,7987.000000,3.000000,1.000000,0.231364,2.218443,0.200000,2.000000,3.504730,-2.352704,2.426431,3.939599,1.240362,0.123682,0.530764,0.175235,-0.085718
8340.000000,3402.000000,0.000000,0.000000,0.207748,3.528492,0.200000,3.200000,1.292817,-1.133568,-0.278159,5.345465,2.437322,0.114739,0.604204,0.096431,0.081489
8341.000000,2838.000000,0.000000,0.000000,0.205960,0.877822,0.200000,0.800000,2.249679,-0.374677,1.797681,1.901900,2.497126,0.352816,1.839852,0.286397,0.054759
8342.000000,7941.000000,1.000000,1.000000,0.217523,1.760775,0.200000,1.600000,3.664656,-1.942891,2.903468,3.485461,3.052754,0.324212,2.144143,0.274995,0.072053
8343.000000,6908.000000,0.000000,0.000000,0.218430,1.767655,0.200000,1.600000,3.615948,-1.361436,3.144845,2.822076,0.791789,-0.046193,-0.979894,-0.141708,-0.000221
8344.000000,1782.000000,0.000000,-1.000000,0.214948,3.721076,0.200000,3.400000,1.499810,-1.333860,-0.226549,5.022851,2.720936,-0.292497,-1.566533,-0.225882,0.032284
8345.000000,7002.000000,0.000000,-1.000000,0.235362,1.993398,0.200000,1.800000,3.765360,-2.237967,2.849030,3.486516,0.772188,0.143490,0.574154,0.300979,-0.089148
8346.000000,7577.000000,0.000000,0.000000,0.228251,1.762836,0.200000,1.600000,3.976076,-1.848367,3.331671,2.998608,1.592260,0.277838,1.268041,0.317134,-0.068387
8347.000000,7987.000000,0.000000,-1.000000,0.214668,2.201748,0.200000,2.000000,3.689395,-2.566438,2.418102,3.546569,3.187201,-0.342720,-2.464707,-0.318998,0.049408
8348.000000,3176.000000,0.000000,0.000000,0.204707,1.978373,0.200000,1.800000,3.798300,-2.328196,2.826326,3.692798,2.008855,0.195464,0.917893,0.185736,0.086629
8349.000000,1941.000000,0.000000,0.000000,0.194356,1.303868,0.200000,1.200000,2.832040,-0.398784,2.507095,2.148087,1.714121,0.339748,1.699085,0.345309,0.071537
